,69,
459850176,0,
459864740,0,
459879296,0,
459893856,4,
459908412,64,
459924016,65,
459939616,36,
459955216,56,
459970816,0,
459985376,0,
459999932,0,
460014492,0,
460029056,0,
460043616,0,
460058176,69,
460073776,37,
460089376,28,
460104976,57,
460120576,0,
460135132,0,
460149692,0,
460164256,0,
460178820,4,
460193376,75,
460208976,64,
460224576,42,
460240176,55,
460255772,68,
460271372,41,
460286984,7,
460301536,0,
460316096,0,
460330656,0,
460345216,37,
460360816,62,
460376412,72,
460392016,66,
460407616,36,
460423216,59,
460438816,55,
460454416,30,
460470016,0,
460484572,0,
460499140,0,
460513696,0,
460528256,23,
460543856,18,
460559456,61,
460575056,34,
460590652,58,
460606252,58,
460621860,63,
460637452,13,
460653056,11,
460668652,0,
460683212,0,
460697776,0,
460712336,0,
460726896,43,
460742496,51,
460758096,49,
460773696,36,
460789296,40,
460804896,46,
460820500,0,
460835056,0,
460849620,0,
460864172,0,
460878732,31,
460894332,12,
460909936,50,
460925536,60,
460941136,62,
460956736,51,
460972332,38,
460987936,58,
461003536,12,
461019144,0,
461033696,0,
461048256,0,
461062820,0,
461077376,43,
461092976,72,
461108576,64,
461124176,28,
461139776,35,
461155376,50,
461170976,33,
461186576,3,
461201132,0,
461215692,0,
461230256,0,
461244816,12,
461260416,17,
461276012,59,
461291616,7,
461306172,55,
461321776,31,
461337376,20,
461352976,1,
461367540,0,
461382100,0,
461396652,0,
461411212,20,
461426816,52,
461442416,68,
461458016,52,
461473612,49,
461489216,46,
461504816,48,
461520416,2,
461534976,0,
461549536,0,
461564096,0,
461578660,8,
461593216,13,
461608816,58,
461624416,57,
461640016,60,
461655616,51,
461671212,52,
461686820,17,
461702416,0,
461716972,0,
461731536,0,
461746092,0,
461760656,38,
461776256,69,
461791856,70,
461807456,64,
461823056,56,
461838652,43,
461854256,64,
461869856,54,
461885456,0,
461900016,0,
461914576,0,
461929132,0,
461943692,45,
461959296,0,
461973856,7,
461988416,42,
462004016,42,
462019616,0,
462034176,0,
462048740,0,
462063292,0,
462077852,53,
462093452,34,
462109056,63,
462124656,60,
462140252,23,
462155856,44,
462171456,33,
462187056,24,
462202656,0,
462217228,0,
462231776,0,
462246336,0,
462260896,14,
462276496,8,
462291056,61,
462306656,62,
462322256,64,
462337856,65,
462353460,0,
462368016,0,
462382580,0,
462397132,0,
462411692,0,
462426256,42,
462441856,40,
462457456,66,
462473056,51,
462488656,47,
462504256,64,
462519856,10,
462535452,0,
462550028,0,
462564576,0,
462579136,0,
462593700,32,
462609296,67,
462624896,52,
462640496,70,
462656096,51,
462671692,59,
462687296,33,
462702896,0,
462717456,0,
462732012,0,
462746572,0,
462761136,32,
462776732,1,
462791292,51,
462806896,50,
462822496,54,
462838096,46,
462853696,53,
462869292,0,
462883864,0,
462898416,0,
462912972,0,
462927532,0,
462942092,0,
462956656,51,
462972256,47,
462987856,43,
463003456,54,
463019056,37,
463034656,0,
463049216,0,
463063772,0,
463078332,0,
463092896,46,
463108492,57,
463124096,68,
463139692,44,
463155292,60,
463170896,61,
463186496,51,
463202096,0,
463216664,0,
463231216,0,
463245776,0,
463260332,67,
463275936,69,
463291536,42,
463307136,59,
463322732,56,
463338332,60,
463353936,36,
463369532,0,
463384092,0,
463398656,0,
463413212,0,
463427780,0,
463442336,50,
463457936,32,
463473532,50,
463489132,50,
463504736,47,
463520336,48,
463535936,50,
463551536,27,
463567136,0,
463581696,0,
463596252,0,
463610812,0,
463625376,24,
463640976,60,
463656576,47,
463672176,69,
463687776,47,
463703376,44,
463718976,38,
463734572,0,
463749144,0,
463763696,0,
463778260,0,
463792812,34,
463808416,2,
463822976,69,
463838572,51,
463854176,58,
463869772,11,
463885376,0,
463899940,0,
463914496,0,
463929052,0,
463943612,55,
463959216,44,
463974816,68,
463990416,36,
464006012,32,
464021616,54,
464037216,37,
464052816,42,
464068416,0,
464082984,0,
464097540,0,
464112096,0,
464126652,29,
464142252,54,
464157856,46,
464173456,62,
464189056,53,
464204652,52,
464220252,69,
464235856,28,
464251456,30,
464267056,0,
464281624,0,
464296176,0,
464310736,0,
464325292,28,
464340892,65,
464356496,44,
464372096,51,
464387692,48,
464403292,58,
464418896,6,
464433456,0,
464448016,0,
464462572,0,
464477132,0,
464491696,56,
464507296,53,
464522896,60,
464538492,63,
464554096,49,
464569696,35,
464585296,0,
464599852,0,
464614424,0,
464628976,0,
464643540,0,
464658092,61,
464673696,51,
464689296,57,
464704896,35,
464720496,26,
464736092,34,
464751696,23,
464767296,0,
464781856,0,
464796412,0,
464810972,22,
464826576,48,
464842176,54,
464857772,46,
464873376,64,
464888976,47,
464904576,28,
464920176,31,
464935772,46,
464951376,0,
464965936,0,
464980496,0,
464995052,0,
465009612,0,
465024180,79,
465039776,35,
465055376,29,
465070976,36,
465086576,39,
465102176,49,
465117776,0,
465132332,0,
465146904,0,
465161460,0,
465176016,32,
465191612,47,
465207216,69,
465222816,82,
465238412,31,
465254016,48,
465269612,36,
465285216,12,
465300816,0,
465315380,0,
465329932,0,
465344492,0,
465359056,21,
465374652,57,
465390256,61,
465405856,52,
465421456,59,
465437056,48,
465452656,56,
465468252,7,
465482824,0,
465497376,0,
465511936,0,
465526492,23,
465542092,47,
465557696,51,
465573296,43,
465588896,65,
465604492,54,
465620096,57,
465635692,62,
465651296,44,
465666896,0,
465681464,0,
465696016,0,
465710580,0,
465725132,67,
465740732,75,
465756332,49,
465771936,49,
465787536,35,
465803136,65,
465818736,62,
465834336,0,
465848896,5,
465863452,0,
465878028,0,
465892572,16,
465908176,3,
465922732,58,
465938336,73,
465953936,26,
465969536,27,
465985136,8,
465999692,0,
466014264,0,
466028816,0,
466043376,0,
466057932,70,
466073532,49,
466089136,44,
466104736,50,
466120336,33,
466135936,37,
466151536,14,
466167136,0,
466181700,0,
466196256,0,
466210828,0,
466225376,46,
466240976,15,
466256572,41,
466272176,39,
466287776,45,
466303376,61,
466318972,32,
466334572,0,
466349136,0,
466363696,0,
466378256,0,
466392812,0,
466407372,49,
466422976,50,
466438576,81,
466454176,53,
466469772,40,
466485372,39,
466500976,43,
466516576,0,
466531132,0,
466545704,55,
466561296,0,
466575852,0,
466590416,68,
466606016,67,
466621616,64,
466637216,65,
466652816,55,
466668412,52,
466684016,17,
466699612,0,
466714172,0,
466728732,0,
466743308,0,
466757856,45,
466773456,73,
466789056,55,
466804652,58,
466820252,53,
466835856,49,
466851456,30,
466867056,0,
466881616,0,
466896176,0,
466910736,0,
466925292,24,
466940892,54,
466956492,29,
466972096,70,
466987696,64,
467003296,48,
467018896,38,
467034492,23,
467050096,0,
467064652,0,
467079224,0,
467093780,0,
467108336,35,
467123936,53,
467139532,59,
467155136,48,
467170732,61,
467186336,56,
467201936,39,
467217536,12,
467233136,0,
467247696,0,
467262252,0,
467276824,0,
467291376,27,
467306976,49,
467322576,39,
467338176,75,
467353776,50,
467369376,22,
467384976,47,
467400572,0,
467415136,0,
467429696,0,
467444256,0,
467458812,0,
467473372,74,
467488976,66,
467504576,58,
467520176,34,
467535776,41,
467551376,30,
467566976,0,
467581536,0,
467596096,0,
467610664,0,
467625216,30,
467640812,2,
467655376,60,
467670976,29,
467686576,58,
467702176,52,
467717776,62,
467733372,21,
467748976,0,
467763540,0,
467778100,0,
467792652,0,
467807212,45,
467822816,0,
467837376,59,
467852976,54,
467868576,45,
467884172,4,
467898732,0,
467913292,0,
467927852,0,
467942424,0,
467956976,26,
467972576,52,
467988176,53,
468003772,47,
468019372,46,
468034976,47,
468050576,48,
468066176,11,
468081776,0,
468096336,0,
468110896,0,
468125452,0,
468140012,37,
468155616,36,
468171216,67,
468186816,48,
468202412,24,
468218016,55,
468233612,15,
468249216,0,
468263772,0,
468278344,0,
468292896,0,
468307456,68,
468323056,19,
468338652,39,
468354252,56,
468369856,67,
468385456,55,
468401056,18,
468416656,0,
468431220,0,
468445776,0,
468460336,0,
468474904,0,
468489456,66,
468505056,67,
468520652,67,
468536256,55,
468551856,42,
468567456,58,
468583056,0,
468597612,0,
468612180,0,
468626736,0,
468641296,0,
468655852,65,
468671452,63,
468687056,6,
468701616,60,
468717216,52,
468732812,0,
468747376,0,
468761936,0,
468776500,0,
468791052,4,
468805612,0,
468820176,68,
468835776,61,
468851376,56,
468866976,53,
468882576,0,
468897136,0,
468911700,0,
468926256,0,
468940824,0,
468955376,59,
468970976,68,
468986572,32,
469002176,56,
469017776,52,
469033376,30,
469048976,12,
469064572,0,
469079140,0,
469093696,0,
469108256,0,
469122812,56,
469138416,47,
469154016,72,
469169612,43,
469185212,51,
469200812,60,
469216412,20,
469232016,0,
469246572,0,
469261132,0,
469275704,0,
469290260,17,
469305852,34,
469321456,48,
469337056,6,
469351620,32,
469367216,43,
469382812,0,
469397372,0,
469411940,0,
469426496,0,
469441056,0,
469455612,69,
469471216,36,
469486816,36,
469502416,40,
469518012,34,
469533612,0,
469548176,15,
469563776,0,
469578336,0,
469592896,0,
469607464,0,
469622016,56,
469637612,59,
469653216,49,
469668812,55,
469684416,64,
469700016,28,
469715616,0,
469730172,0,
469744740,0,
469759296,0,
469773856,2,
469788412,0,
469802972,15,
469818576,52,
469834176,51,
469849772,33,
469865376,0,
469879936,0,
469894500,0,
469909056,0,
469923616,57,
469939220,62,
469954816,66,
469970416,68,
469986016,71,
470001616,65,
470017212,60,
470032816,39,
470048416,0,
470062972,0,
470077536,0,
470092096,0,
470106656,56,
470122252,47,
470137864,57,
470153456,56,
470169056,57,
470184652,68,
470200256,54,
470215856,6,
470230416,0,
470244976,0,
470259536,0,
470274104,0,
470288656,14,
470304256,59,
470319852,76,
470335452,59,
470351056,51,
470366656,38,
470382256,12,
470397856,0,
470412416,0,
470426976,0,
470441536,0,
470456096,28,
470471700,55,
470487296,51,
470502896,39,
470518496,52,
470534096,46,
470549696,56,
470565296,0,
470579860,0,
470594416,0,
470608976,0,
470623536,0,
470638096,33,
470653692,52,
470669292,67,
470684896,56,
470700492,39,
470716092,59,
470731692,2,
470746260,0,
470760816,0,
470775376,0,
470789936,15,
470805540,0,
470820096,59,
470835692,14,
470851296,50,
470866892,43,
470882496,0,
470897056,0,
470911616,0,
470926176,0,
470940740,0,
470955292,43,
470970896,35,
470986492,74,
471002096,49,
471017696,21,
471033296,33,
471048896,35,
471064492,0,
471079056,0,
471093620,0,
471108176,0,
471122736,4,
471137304,57,
471152896,71,
471168496,46,
471184096,55,
471199692,61,
471215292,0,
471229852,0,
471244412,0,
471258972,0,
471273544,29,
471289136,63,
471304736,45,
471320332,50,
471335944,55,
471351536,54,
471367136,57,
471382736,51,
471398332,42,
471413936,0,
471428496,0,
471443056,0,
471457616,0,
471472184,12,
471487776,50,
471503376,47,
471518976,59,
471534572,57,
471550176,56,
471565776,54,
471581372,0,
471595932,0,
471610496,0,
471625056,0,
471639620,0,
471654176,35,
471669780,54,
471685376,67,
471700976,56,
471716576,47,
471732176,22,
471747776,0,
471762336,0,
471776896,0,
471791456,0,
471806020,38,
471821616,64,
471837216,70,
471852816,59,
471868424,44,
471884016,54,
471899616,54,
471915216,43,
471930812,0,
471945376,0,
471959940,0,
471974496,0,
471989056,51,
472004660,20,
472020256,69,
472035856,72,
472051456,52,
472067056,40,
472082656,61,
472098256,6,
472112812,0,
472127372,0,
472141936,0,
472156496,0,
472171060,53,
472186652,57,
472202256,61,
472217856,56,
472233456,59,
472249056,49,
472264652,16,
472280252,0,
472294812,0,
472309372,0,
472323932,0,
472338504,36,
472354096,4,
472368656,51,
472384252,57,
472399852,40,
472415456,60,
472431056,25,
472446652,0,
472461212,0,
472475776,0,
472490336,0,
472504900,52,
472520496,57,
472536096,50,
472551696,54,
472567296,31,
472582896,31,
472598492,42,
472614096,6,
472628660,0,
472643220,0,
472657776,0,
472672336,57,
472687936,35,
472703536,69,
472719132,51,
472734736,55,
472750336,61,
472765936,55,
472781536,32,
472797136,0,
472811696,0,
472826256,0,
472840816,0,
472855376,11,
472870980,39,
472886576,54,
472902176,46,
472917776,56,
472933384,62,
472948976,57,
472964576,47,
472980172,0,
472994732,0,
473009300,0,
473023856,0,
473038416,5,
473052976,60,
473068580,52,
473084176,50,
473099772,43,
473115376,62,
473130972,40,
473146576,0,
473161136,0,
473175700,0,
473190256,0,
473204816,35,
473220412,18,
473236016,53,
473251616,57,
473267216,29,
473282816,38,
473298416,21,
473314016,28,
473329612,7,
473344180,0,
473358736,0,
473373296,0,
473387856,40,
473403460,56,
473419056,41,
473434652,63,
473450252,59,
473465864,50,
473481456,39,
473497056,0,
473511612,0,
473526172,0,
473540736,0,
473555296,0,
473569860,66,
473585456,69,
473601056,56,
473616656,33,
473632256,46,
473647856,30,
473663452,27,
473679056,0,
473693620,0,
473708180,0,
473722736,0,
473737296,56,
473752896,0,
473767456,47,
473783056,55,
473798664,54,
473814256,30,
473829856,35,
473845452,0,
473860012,0,
473874576,0,
473889140,0,
473903696,15,
473919296,44,
473934900,64,
473950492,48,
473966096,32,
473981696,57,
473997296,9,
474011856,0,
474026416,0,
474040976,0,
474055532,0,
474070100,26,
474085696,68,
474101296,58,
474116896,43,
474132496,38,
474148096,35,
474163696,0,
474178252,0,
474192812,0,
474207376,0,
474221936,0,
474236496,47,
474252096,60,
474267700,63,
474283296,29,
474298896,53,
474314492,48,
474330096,0,
474344656,0,
474359216,0,
474373780,0,
474388336,0,
474402896,31,
474418492,50,
474434096,64,
474449696,44,
474465296,57,
474480896,15,
474496496,6,
474511056,0,
474525616,0,
474540176,0,
474554736,11,
474570336,28,
474585936,19,
474601536,58,
474617136,60,
474632732,42,
474648336,28,
474663944,59,
474679536,0,
474694100,0,
474708652,0,
474723212,0,
474737776,0,
474752340,46,
474767936,50,
474783532,64,
474799136,41,
474814736,44,
474830336,52,
474845936,0,
474860492,0,
474875056,0,
474889620,0,
474904176,25,
474919776,38,
474935376,54,
474950976,70,
474966576,61,
474982172,38,
474997780,34,
475013376,16,
475028976,0,
475043532,0,
475058092,0,
475072656,0,
475087216,0,
475101776,42,
475117376,67,
475132980,59,
475148576,67,
475164176,59,
475179776,19,
475195372,0,
475209936,0,
475224500,0,
475239056,0,
475253612,62,
475269216,25,
475284816,56,
475300416,60,
475316016,56,
475331620,60,
475347216,57,
475362816,53,
475378416,0,
475392972,0,
475407536,0,
475422096,0,
475436660,0,
475451216,42,
475466820,50,
475482412,47,
475498016,59,
475513616,46,
475529224,0,
475543776,0,
475558336,0,
475572900,0,
475587456,38,
475603056,53,
475618656,30,
475634256,54,
475649856,68,
475665460,67,
475681056,63,
475696652,36,
475712256,0,
475726812,0,
475741380,0,
475755936,0,
475770496,0,
475785056,32,
475800656,67,
475816256,27,
475831856,38,
475847452,35,
475863056,9,
475877616,0,
475892180,0,
475906732,0,
475921292,0,
475935856,30,
475951456,69,
475967056,49,
475982656,51,
475998256,49,
476013856,53,
476029456,58,
476045056,0,
476059612,0,
476074176,0,
476088740,0,
476103296,0,
476117856,45,
476133456,71,
476149052,53,
476164656,51,
476180256,55,
476195856,0,
476210416,0,
476224976,0,
476239532,0,
476254092,0,
476268656,55,
476284256,53,
476299852,64,
476315456,60,
476331056,62,
476346656,50,
476362256,42,
476377852,0,
476392412,0,
476406980,0,
476421532,0,
476436092,0,
476450652,59,
476466252,56,
476481856,41,
476497456,51,
476513056,48,
476528656,0,
476543216,0,
476557780,0,
476572332,0,
476586892,0,
476601456,71,
476617056,62,
476632656,57,
476648256,29,
476663856,40,
476679456,41,
476695056,0,
476709612,0,
476724172,0,
476738736,0,
476753296,0,
476767856,69,
476783456,59,
476799056,69,
476814652,51,
476830256,27,
476845856,33,
476861456,0,
476876016,0,
476890576,0,
476905132,0,
476919692,0,
476934256,59,
476949856,64,
476965456,61,
476981056,36,
476996656,27,
477012256,28,
477027852,0,
477042416,0,
477056976,0,
477071532,0,
477086092,18,
477101696,0,
477116252,54,
477131856,40,
477147452,59,
477163056,49,
477178652,0,
477193228,0,
477207776,0,
477222336,0,
477236900,0,
477251456,0,
477266016,43,
477281612,61,
477297216,54,
477312816,52,
477328416,29,
477344016,0,
477358572,0,
477373136,0,
477387696,0,
477402256,24,
477417856,61,
477433456,51,
477449056,71,
477464656,58,
477480256,55,
477495856,43,
477511452,17,
477527056,0,
477541616,0,
477556176,0,
477570732,0,
477585292,0,
477599856,69,
477615452,48,
477631056,52,
477646656,32,
477662256,41,
477677856,0,
477692416,0,
477706972,0,
477721532,0,
477736096,38,
477751692,31,
477767296,0,
477781852,65,
477797456,19,
477813056,50,
477828656,44,
477844252,0,
477858828,0,
477873376,0,
477887936,0,
477902500,0,
477917056,51,
477932656,40,
477948256,54,
477963852,47,
477979456,59,
477995056,36,
478010656,0,
478025216,0,
478039772,0,
478054332,0,
478068896,0,
478083460,66,
478099056,54,
478114652,59,
478130256,47,
478145856,13,
478161456,66,
478177052,0,
478191628,0,
478206176,0,
478220740,0,
478235296,29,
478250896,54,
478266496,25,
478282096,51,
478297692,25,
478313292,48,
478328896,33,
478344492,0,
478359052,0,
478373612,0,
478388172,0,
478402736,0,
478417296,36,
478432892,69,
478448492,54,
478464096,43,
478479696,40,
478495296,58,
478510896,0,
478525464,0,
478540016,0,
478554580,0,
478569132,0,
478583692,23,
478599292,66,
478614896,61,
478630496,51,
478646096,47,
478661696,30,
478677296,25,
478692896,0,
478707452,0,
478722012,0,
478736576,0,
478751136,66,
478766732,2,
478781292,66,
478796896,37,
478812492,61,
478828096,47,
478843692,0,
478858264,0,
478872816,0,
478887376,0,
478901932,43,
478917536,19,
478933136,36,
478948736,71,
478964336,24,
478979936,41,
478995536,20,
479011136,0,
479025696,0,
479040252,0,
479054812,0,
479069380,0,
479083936,64,
479099536,56,
479115136,37,
479130736,31,
479146336,60,
479161932,27,
479177536,54,
479193136,0,
479207700,0,
479222256,0,
479236812,0,
479251372,42,
479266976,57,
479282572,77,
479298176,50,
479313772,52,
479329372,36,
479344976,47,
479360576,0,
479375132,0,
479389708,0,
479404256,0,
479418816,0,
479433376,13,
479448976,35,
479464576,66,
479480176,59,
479495772,43,
479511372,23,
479526976,11,
479542576,1,
479557136,0,
479571692,0,
479586252,0,
479600816,16,
479616416,68,
479632016,53,
479647612,68,
479663216,58,
479678816,57,
479694416,64,
479710016,26,
479725620,0,
479740176,0,
479754740,0,
479769292,0,
479783852,33,
479799452,68,
479815056,56,
479830656,63,
479846256,59,
479861856,50,
479877452,26,
479893056,0,
479907612,0,
479922188,0,
479936740,0,
479951296,25,
479966896,11,
479982496,69,
479998096,75,
480013692,44,
480029296,52,
480044896,56,
480060496,31,
480076096,0,
480090656,0,
480105212,0,
480119772,0,
480134340,0,
480148896,60,
480164496,63,
480180096,45,
480195696,46,
480211296,38,
480226896,0,
480241452,0,
480256024,0,
480270576,0,
480285136,0,
480299692,66,
480315296,65,
480330896,54,
480346496,62,
480362096,41,
480377692,52,
480393296,0,
480407856,0,
480422416,0,
480436972,0,
480451532,0,
480466096,16,
480481696,59,
480497296,75,
480512896,55,
480528496,53,
480544096,8,
480558656,0,
480573216,0,
480587788,0,
480602336,0,
480616896,49,
480632496,0,
480647052,49,
480662656,47,
480678256,58,
480693856,26,
480709452,0,
480724024,0,
480738576,0,
480753136,0,
480767692,40,
480783292,52,
480798896,64,
480814496,72,
480830096,59,
480845692,57,
480861292,52,
480876896,15,
480892496,0,
480907052,0,
480921624,0,
480936176,0,
480950736,30,
480966332,32,
480981932,72,
480997536,59,
481013136,66,
481028732,61,
481044332,62,
481059936,36,
481075536,4,
481090100,0,
481104652,0,
481119212,0,
481133776,29,
481149376,71,
481164972,65,
481180576,69,
481196172,45,
481211776,26,
481227376,10,
481242976,14,
481258576,0,
481273136,0,
481287700,0,
481302252,0,
481316812,11,
481332416,47,
481348016,60,
481363616,65,
481379216,50,
481394816,34,
481410412,46,
481426016,0,
481440572,0,
481455144,0,
481469696,0,
481484256,0,
481498812,64,
481514412,33,
481530016,1,
481544580,27,
481560176,28,
481575772,0,
481590344,0,
481604892,0,
481619452,0,
481634016,0,
481648576,36,
481664176,68,
481679776,49,
481695376,63,
481710976,34,
481726576,48,
481742176,0,
481756736,0,
481771292,0,
481785868,0,
481800416,59,
481816016,40,
481831612,37,
481847216,57,
481862816,52,
481878412,58,
481894016,38,
481909612,29,
481925212,0,
481939772,0,
481954332,0,
481968896,0,
481983456,39,
481999056,45,
482014656,65,
482030256,61,
482045856,32,
482061452,55,
482077056,52,
482092656,1,
482107212,0,
482121784,0,
482136340,0,
482150896,6,
482165452,46,
482181056,34,
482196656,51,
482212256,45,
482227856,58,
482243452,62,
482259056,0,
482273616,0,
482288180,0,
482302732,0,
482317292,48,
482332896,30,
482348492,67,
482364092,55,
482379692,23,
482395296,47,
482410896,62,
482426496,50,
482442096,14,
482457696,0,
482472252,0,
482486816,0,
482501372,0,
482515932,66,
482531532,32,
482547136,39,
482562732,60,
482578336,58,
482593936,36,
482609536,48,
482625136,0,
482639692,0,
482654264,0,
482668816,0,
482683376,0,
482697932,60,
482713532,59,
482729136,33,
482744736,52,
482760336,51,
482775936,23,
482791536,0,
482806096,0,
482820660,0,
